,transcriptomics_sample_id,cell_specimen_id,ephys_session_id,age,ephys_path,hemisphere_right,biological_sex_M,r,g,b,0_dim_pos,0_embed_pos,1_dim_pos,1_embed_pos,2_dim_pos,2_embed_pos,3_dim_pos,3_embed_pos,4_dim_pos,4_embed_pos,5_dim_pos,5_embed_pos,6_dim_pos,6_embed_pos,7_dim_pos,7_embed_pos,8_dim_pos,8_embed_pos,9_dim_pos,9_embed_pos,structure_VISl2/3,structure_VISl5,structure_VISl6a,structure_VISp1,structure_VISp2/3,structure_VISp4,structure_VISp5,structure_VISp6a,structure_VISpm2/3,structure_VISpm5,structure_VISpm6a,just_my_type_0,just_my_type_1,just_my_type_2,just_my_type_3,just_my_type_4,just_my_type_5,just_my_type_6,just_my_type_7,just_my_type_8,just_my_type_9,just_my_type_10,mean_resting_volt
1,PS0817_E1-50_S19,601790961,601790945,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601790945_icephys.nwb,0,0,1.0,0.5906255906255905,0.0,0.5802109663044505,7.5818186,0.5125269837575193,-0.11914248,0.43620124070868155,0.6446045,0.5560600637532533,3.302442,0.5815001792152913,3.3852398,0.6418023835204597,1.9741906,0.47760213568661325,2.8955088,0.4424880759757153,1.7354345,0.5203724680388981,7.1974525,0.3659941428114717,6.98803,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-80.69084442905898
2,PS0817_E1-50_S25,601803754,601803733,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601803733_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.29668493819892305,11.64944,0.5989379436947051,-0.07408158,0.46868220160446905,0.75538814,0.4998587042534487,1.9243091,0.5991575089169386,9.0251,0.6014823614131656,3.5127068,0.3926798997302474,2.611277,0.5631022281238718,0.31909075,0.4912248282913014,6.8151364,0.5479513512241418,6.5374393,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-65.9520499859984
3,PS0817_E1-50_S26,601808698,601808619,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601808619_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.2671499408445375,11.575529,0.535275667105491,-0.17489962,0.44339294739027896,0.7320286,0.4533444996063784,1.8429952,0.46657753439031613,8.591633,0.5964390176727619,3.4994578,0.5913444330361031,3.2066588,0.815510473478419,0.7569064,0.5569844575999484,6.883791,0.4996128997814697,6.4915004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-67.45819874487876
4,PS0817_E1-50_S27,601810307,601810292,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601810292_icephys.nwb,1,0,0.22812322812322794,1.0,0.0,0.6023792681793073,12.4144335,0.4679219288374489,-0.2815636,0.5471445926360958,0.8278634,0.6023176636071346,2.103423,0.4717748731083026,8.608625,0.6012789758936002,3.5121725,0.26799591063921246,2.2376091,0.1291925571777905,-0.43354884,0.6007588979824254,6.9294925,0.49812472914820904,6.490086,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-64.92347956564343
5,PS0817_E1-50_S28,601811091,601811076,57,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462951\sub-601462951_ses-601811076_icephys.nwb,0,0,1.0,0.0,0.6843755906255904,0.5810335530038407,12.406835,0.4009503739936976,-0.7494204,0.35019836619317796,0.48392898,0.5055364688802094,1.789827,0.2724403944304805,5.8937826,0.6350371603646374,3.4895837,0.6241024437898098,5.066387,0.5500051394822868,1.3670985,0.6131417806932099,7.057731,0.46665388402683056,6.3848367,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-68.0005947250269
6,PS0817_E1-50_S46,602231708,602231628,59,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462926\sub-601462926_ses-602231628_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.593496017791174,12.392203,0.4785256205060081,-0.2647712,0.4872278353748097,0.77251863,0.5712318647702687,2.0490804,0.7131349311515202,9.397746,0.6419079788136387,3.6189053,0.31179418120027774,2.368869,0.10262826350312498,-0.47962603,0.42738620830257024,6.7484875,0.45315698920730535,6.4473505,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-71.58968779394426
7,PS0817_E1-50_S52,602535278,602535253,60,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-601462915\sub-601462915_ses-602535253_icephys.nwb,1,1,0.22812322812322794,1.0,0.0,0.4803372795887023,12.109026,0.42227932735917456,-0.353845,0.3868418056103035,0.67979264,0.5260924699120592,1.9701698,0.5757131884477814,8.948449,0.6276650932656765,3.581489,0.5493147392878684,3.0806992,0.4364346932304935,0.09937912,0.4319836595185173,6.7532873,0.4219164442614719,6.4176607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-70.3961045011165
8,PS0830_E1-50_S17,604626221,604626206,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-603513553\sub-603513553_ses-604626206_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.47934229647599885,-1.9639105,0.08103123212730841,-0.1583191,0.6992755488637651,0.8442932,0.4613523012191806,-1.8448986,0.5210190594959997,5.366304,0.38855501155878863,1.5830325,0.3395882277872716,2.3322573,0.4141150803753377,1.8294921,0.3744835481702504,6.0393233,0.29187762575011,8.209894,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-65.57199950657325
9,PS0830_E1-50_S19,604646725,604646572,51,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-603513553\sub-603513553_ses-604646572_icephys.nwb,1,1,1.0,0.5906255906255905,0.0,0.17424432756172908,6.5658956,0.4407942074420544,-0.23274128,0.3640898784344902,0.57799566,0.5014284054850238,3.2069376,0.46947263407101514,3.0189686,0.5898090672152493,1.8376036,0.5017092274631786,2.9677558,0.5293628111608578,1.8861234,0.6072983681304415,7.288205,0.5055008574285749,7.1206117,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-69.98641409348646
11,PS0830_E1-50_S26,605160536,605160446,54,F:\Big_MET_data\fine_and_dandi_ephys\000020\sub-603513520\sub-603513520_ses-605160446_icephys.nwb,1,1,0.8187488187488189,1.0,0.0,0.5648540614869082,-1.749919,0.8399783815771579,1.043579,0.07752075819402059,0.2699819,0.6916237690902166,-1.4423487,0.5029793237409637,5.3073235,0.7269743127090482,2.4720638,0.6416484346044489,3.2375076,0.4681315415796426,1.9231865,0.8653745063205963,6.5518246,0.7131673926275823,8.610271,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-66.30983163025415
